Date;Start Run Timestamp;Parameter Set;Run Number;Run Duration (hh:mm:ss);Total Correct Pieces;Last Improvement Iteration;Sequence Length;Total Move Sequence;Improvement Count;Learned Sequence Reuse Count
2025-03-31;18:57:09;P1;1;00:00:00;15;0;84;L Rb Lb F L D Lb Db L R D Rb Db Fb Rb F R R L L Ub Ub Lb R R Lb R U Rb Ub Rb Ub Rb U R U L B L Db B B Lb Bb D L R B R Bb Db Rb D R Db Rb Fb R Db Db Db Fb Rb Fb Fb R B R Fb Rb F Bb Rb L D L D Lb Lb Db Lb Db Lb Db;0;13
2025-03-31;18:57:09;P1;2;00:00:00;15;0;83;U Bb Db B D Fb Db F B L B Lb D Bb Ub Bb Rb Bb R U R D D L Db Lb B Db Bb L R F R U R F F Rb Fb Ub Fb R Rb Fb Fb R F Db F R Lb Bb Lb B D L Bb Rb B Db Bb D R B Bb L L D D D Lb D L L B D Db Rb Bb Db B D R;0;12
2025-03-31;18:57:09;P5;3;00:08:33;16;0;69;Db L Bb Fb Db F Ub R U Fb F D Fb Fb B Rb F Bb Lb D L D F Lb Fb R Db Rb Bb Db B R B R Bb Db Rb Lb D L D B Db Bb Bb Rb B Db Bb D R B Fb Lb Fb R F L Rb F Db Rb D L Db R D Lb Db;0;13
2025-03-31;19:05:43;P2;4;00:00:00;16;0;93;B U Fb Lb Lb F L R Fb Rb F Fb Lb F F L F Bb R D R R R B D Bb Lb B D Bb L D Lb Rb Db R D B R Bb Db Rb Fb Fb R F Db F R Db Lb D L Bb L B Lb Db R Db Rb B Rb Bb R L B R Bb Lb B Rb Bb B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;0;13
2025-03-31;19:05:43;P2;5;00:00:00;16;0;93;F R Db Lb Bb R Bb D Rb Fb R U F Rb Rb Fb Rb Rb F R R F L Rb F Lb Fb Lb Rb L B R Lb Bb F Lb Lb B Fb D R B R Bb Db Rb Rb Lb B B Lb Lb B B L R Db Db Fb Lb Db F D Fb L F Rb Db Rb D D D Rb D R D R R D Rb Db Rb B R Bb Rb Bb Lb B R Bb L B;0;14
2025-03-31;19:05:43;P4;6;00:08:24;15;0;70;Rb D F F Rb B R D Rb Db R D Lb Db L Fb D F R Bb Rb B D B Db R B R D R B R Bb Db Rb Db Lb Db Bb L B L Lb D L Bb L B Lb Rb D R Fb R F Rb Rb Bb Db B D R D D Rb Db Bb D B R;0;13
2025-03-31;19:14:07;P3;7;00:08:23;15;0;81;Ub Bb Rb Db Bb Bb R Bb D B Rb F Db Fb F Bb Lb Lb B Fb B Lb Db L Bb Db B Fb Lb F L Fb Fb D Fb Db Fb Fb Db Lb F L F Db Fb Lb Db L F Lb D L Bb Rb Db B Rb Bb R D R Db B Rb B Db Bb Bb D B R B D Bb Db Rb Bb Db B D R;0;14
2025-03-31;19:22:31;P4;8;00:08:31;16;0;81;Rb R U Rb Lb Lb Db L D Lb D Lb Db L L Rb B B Lb R Fb B Rb Bb F Rb Db Fb Fb Rb F R F R F Fb Db Lb F L F R B R Fb Rb F Bb Rb D D F Lb Fb L Fb Db F D Bb Lb Db L D B L B Rb Bb Lb B R Bb B R F Rb Bb R Fb Rb;0;15
2025-03-31;19:31:02;P4;9;00:08:30;16;0;79;B U D L L Lb F L B R D Rb D Bb Lb R F Rb L Rb Ub Rb B R B U Lb B B B D B D L Bb L B L Db B B Lb Bb D L D R Db Rb Fb R Db Db Db Fb Rb Fb Fb R B R Bb Db Rb D Fb Db Rb D R F D F L D Lb Db Fb D;0;13
2025-03-31;19:39:33;P5;10;00:08:30;16;0;95;F R Lb F Lb F L B L Bb Bb Lb Bb Db L Bb Lb Db Bb D B Db F R Fb Db Rb Db Fb D R D Fb L D Lb F D Fb Bb F Lb Fb B L D F Lb Fb Lb Db Db Bb Db Rb B R B D R R B R Db Bb R B D Bb D Rb Bb Db B D R D Rb Db Bb D B R Bb Lb Fb Fb Bb F B L B Lb F L;0;14
2025-03-31;19:48:03;P4;11;00:08:31;16;0;119;Ub Ub Fb Lb F Db L Fb Lb Fb Fb L Fb Db F D R F Rb F Bb Lb B Fb F R D Rb Fb Db Fb Rb F Bb D B Lb Bb L B L Db Bb Rb Fb Fb R F Db F R Rb Bb Rb B R Db B R D Db Db R D Rb Db Bb Db B Rb Fb Rb Fb B F R Bb F R D R F D Fb Db Rb D Lb U D D Ub Lb Db Lb Ub Ub Db Ub Ub L L D L D Lb Lb Rb Rb Db Rb Db R D R D R Db R;0;16
2025-03-31;19:56:35;P5;12;00:08:30;16;0;74;Db Rb Db R Db Rb F D Fb Db L Db Lb Bb F L Fb B Bb Db Rb B R B Fb Db Lb F L F Bb Lb D Bb Lb B L B L L L Db Lb Db L L D L D L Db R F D Fb Db Rb R D F Db Fb Rb Db B R Fb Rb B B B R F Rb;0;12
2025-03-31;20:05:05;P4;13;00:08:30;16;0;76;B U Db L Bb L B Ub R U Fb Fb Db F F Db Db Fb Fb B Rb Bb F Rb U Rb F R Ub R U Rb Ub R B R Bb Db Rb D R Db Rb Fb R Db Db Db Fb Rb Fb Fb B D D L Bb Lb D D Bb B D Bb Db Lb Db L Rb D L Db R D Lb Db;0;13
2025-03-31;20:13:36;P3;14;00:08:30;16;0;96;Lb Lb Bb L Fb Rb F Lb R Db Rb L Lb R Fb Rb L B R D D Rb D Bb Bb F Lb Lb B Fb B D L Bb Lb Bb Lb F L Fb L D Lb B D D R Db Rb Db Db Bb D F R Fb Rb Db R D F Db Rb Fb D Fb Db Rb D R F D Rb B R B Fb Bb Rb Fb Bb F R F Rb Rb Db Rb Db R D R D R Db R;0;14
2025-03-31;20:22:06;P5;15;00:08:30;16;0;81;Ub Lb Lb Bb Rb Bb R Rb U F Ub Bb Db Lb D Lb B L Fb Lb Db L F D Lb F R D Rb Fb Db Fb Rb F Rb D B D Bb Db Bb R Fb Db Lb F L F Db Db Lb D L D B Db Bb Bb Rb Bb L B R Lb B L B R Bb Lb B Rb Bb Rb Bb R Fb Rb B R F;0;13
2025-03-31;20:30:37;P2;16;00:08:24;15;0;54;Lb Bb Ub R U Fb R D Rb Fb D F B Rb D R Bb D Lb Db L Fb L D F L D Fb Lb Fb Lb D L Bb L B Lb Bb Rb Bb L B R Lb B Db R D Rb Db Rb B R Bb;0;12
2025-03-31;20:39:01;P5;17;00:08:24;15;0;62;U F R Lb Lb L D Lb R D Rb R B R Bb Ub Bb U Fb L D Lb F D Fb D R B R Bb Db Rb Rb Lb B B Lb Lb B B L R B Lb Db L D L Bb Lb Fb Rb Db Fb R R F R D F Db D;0;12
2025-03-31;20:47:25;P3;18;00:08:32;16;0;86;U Fb Lb Lb Bb Rb Bb R B D D Bb F Bb L B Fb Fb Fb D Fb Db F F Lb F L D R B R Bb Db Rb D Fb D F D L Db Lb F Db Fb R Fb Rb F B R L Rb B Rb Bb Lb R Bb R F D Fb Db Rb Db L B Rb Bb Lb B R Bb Rb Rb Db Rb Db R D R D R Db R;0;15
2025-03-31;20:55:57;P4;19;00:08:35;16;0;84;Lb Lb D Fb Db F B Db Bb Rb Bb R Fb Db F R Fb Rb Fb D F B D Bb Db Rb Bb R Fb B Rb Rb Bb F Rb Fb Rb F D R Lb F L Fb L D Lb Lb Bb Lb F L Fb B L Fb Rb Db Fb R R F R D F Db D R F D Fb Db Rb D Lb Db Db L D Lb D L Db Db;0;13
2025-03-31;21:04:32;P3;20;00:08:31;16;0;99;F R D L L Bb Rb Bb U Bb Ub L B B R Bb Rb U B U Bb Rb Ub Bb D B R Bb Db Rb Db R B B L B Lb Ub Lb U Rb Fb Fb R F Db F R B L B Lb Db Bb Rb Fb Rb Fb B F R Bb F R Lb Fb Db F D Lb Lb Lb Lb Fb Db F D L Db B Rb Lb R Lb Lb Rb Lb Bb L Bb L Bb R B Rb Lb R B Lb;0;14
2025-03-31;21:13:04;P2;21;00:08:22;15;0;86;B U Db L Db Lb D Lb Db L F D Fb R Lb F L Rb Lb Lb U Bb Ub L L Bb L B Db Db Bb D B Lb D L Bb Db R B R Bb Db Rb D R Db Rb Fb R Db Db Db Fb Rb Fb Fb R R U F Ub Fb Rb F Rb Rb B Db Bb Bb D B R B D Bb D D F Db Bb D Fb Db B;0;13
2025-03-31;21:21:27;P1;22;00:00:00;16;0;77;F B B D Bb Db B Bb F Lb Fb B B L B Lb Ub Lb U Rb Fb Rb F U F Ub Rb Db Fb Fb Rb F R F R F Fb Lb Fb L D F Rb Bb Rb B R Db B R D Db F D Fb Db Rb Db R Rb Rb D Fb Rb F R Db R R D D Rb Db Bb D B R;0;12
2025-03-31;21:21:27;P4;23;00:08:35;16;0;78;U Bb Fb Fb Lb Fb Fb L D Bb Db B Lb R Fb Rb L Rb L B R Lb Db B L D Lb Bb Db Bb Lb B D Lb D L D B Db Bb L F L Bb Lb B Fb Lb Db Rb Db Rb Rb Db R R Db Db R Db Bb D B Lb Fb Db F D L Db Rb Bb R Fb Rb B R F;0;13
2025-03-31;21:30:02;P1;24;00:00:00;15;0;74;B B D Lb D L Db R D Rb Lb R Fb Rb L R F R F Rb Fb Rb Fb Rb F Lb D L D D F L L Fb D B Db Bb Db Lb D L Bb Lb D Bb Lb B L B Fb Lb Fb R F L Rb F Db R F D Fb Db Rb Db Bb L B Lb Db Lb D L;0;12
2025-03-31;21:30:02;P4;25;00:08:38;16;0;67;Ub Db L L Db L Bb Fb Rb F Lb R F Rb L B Fb R R Bb F Lb B D Bb L D Lb B Db Bb Db Rb B R B L B Lb Db Bb Bb D B Rb B R Bb Bb L L D D D Lb D L L B D Lb Fb Db F D L Db;0;12
2025-03-31;21:38:41;P3;26;00:08:35;16;0;78;Rb Db L Bb F B Db Bb Rb L B Lb R L D Lb Fb Db F D D L Db Lb B Db Bb L F Rb Db Fb Db F R Rb Fb Fb R F Db F R D B L B Lb Db Bb D F Db Fb R Fb Rb F B D Bb Db Lb Db L Bb Lb Db L D B B R D Rb Db Bb D;0;14
2025-03-31;21:47:16;P1;27;00:00:00;16;0;75;U Db L Bb Rb Bb R D Lb Lb L F Lb Lb Fb Lb Lb Lb U Bb Ub L L Bb L B Bb F Bb Ub Fb B Ub F U B D R B R Bb Db Rb B D L Bb Lb Bb Db Db Fb Lb Db F D Fb L F Rb B R Bb Rb Rb Rb D Rb B R D Rb Db Bb D;0;12
